followers_count,friends_count,account_created_at,created_at,full_text,truncated,source,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,tweet_id_hashed,clean_text,tokens,label_sentiment,label_confidence,label_cardiffnlp,label_conf_cardiffnlp
9,26,2019-06-15 21:36:00,2022-12-11 02:22:00,"@giraltpablo Miren que yo veo un llanto chistosísimo como hace mucho no veía en un torneo o copa, pero en esto los portugueses tienen razón: no debieron haber puesto un arbitro de un país que sigue en competencia.

Pero bue: la FIFA haciendo pelotudeces. Ninguna novedad.",False,Twitter Web App,1.60163e+18,143843372.0,giraltpablo,False,0,0,False,False,es,cc6b902ab202449c5bbcdea225aafcde92287f7a83ccea36fe539de98a07562b,"miren que yo veo un llanto chistosísimo como hace mucho no veía en un torneo o copa, pero en esto los portugueses tienen razón: no debieron haber puesto un arbitro de un país que sigue en competencia. pero bue: la fifa haciendo pelotudeces. ninguna novedad.","['miren', 'que', 'yo', 'veo', 'un', 'llanto', 'chistosísimo', 'como', 'hace', 'mucho', 'no', 'veía', 'en', 'un', 'torneo', 'o', 'copa', 'pero', 'en', 'esto', 'los', 'portugueses', 'tienen', 'razón', 'no', 'debieron', 'haber', 'puesto', 'un', 'arbitro', 'de', 'un', 'país', 'que', 'sigue', 'en', 'competencia', 'pero', 'bue', 'la', 'fifa', 'haciendo', 'pelotudeces', 'ninguna', 'novedad']",negativo,0.935,negativo,0.857
7,91,2022-10-23 20:22:00,2022-12-11 10:38:00,"@PichistaMercier El mundial lo ganas con quien te toca... por algo llego hasta ahí además marruecos quedó primero en el grupo de croacia,subcampeon 2018, belgica top 10 fifa, España campeón del mundo y a Portugal de cr7 y dejaría hipotéticamente a Francia último campeón.",False,Twitter for Android,1.6016400000000003e+18,1.55684e+18,PichistaMercier,False,0,0,False,False,es,762834f72ff8defba7157bd33f653ad4db144834909ea92129994a7726fc7e3e,"el mundial lo ganas con quien te toca... por algo llego hasta ahí además marruecos quedó primero en el grupo de croacia,subcampeon 2018, belgica top 10 fifa, españa campeón del mundo y a portugal de cr7 y dejaría hipotéticamente a francia último campeón.","['el', 'mundial', 'lo', 'ganas', 'con', 'quien', 'te', 'toca', 'por', 'algo', 'llego', 'hasta', 'ahí', 'además', 'marruecos', 'quedó', 'primero', 'en', 'el', 'grupo', 'de', 'croacia', 'subcampeon', '2018', 'belgica', 'top', '10', 'fifa', 'españa', 'campeón', 'del', 'mundo', 'y', 'a', 'portugal', 'de', 'cr7', 'y', 'dejaría', 'hipotéticamente', 'a', 'francia', 'último', 'campeón']",neutro,0.594,positivo,0.536
979,983,2014-05-19 16:53:00,2022-12-11 04:42:00,"@rosym_ss A ver si no se les atraviesa Marruecos 🇲🇦 

Claro, si la mafia de la FIFA no intercede por los boludos 🇦🇷",False,Twitter for iPhone,1.60175e+18,276791169.0,rosym_ss,False,0,1,False,False,es,e608d7e8491f02ec54c6dee7c8d86f694b99b9229e61a33257d277df3cab042f,"a ver si no se les atraviesa marruecos claro, si la mafia de la fifa no intercede por los boludos","['a', 'ver', 'si', 'no', 'se', 'les', 'atraviesa', 'marruecos', 'claro', 'si', 'la', 'mafia', 'de', 'la', 'fifa', 'no', 'intercede', 'por', 'los', 'boludos']",negativo,0.825,negativo,0.886
0,3,2022-11-25 11:54:00,2022-12-11 10:57:00,"rip ronaldo #Ronaldo #fifa
#WorldCup #PortogalloMarocco #Morocco #Messi𓃵 #neymarjr",False,Twitter Web App,,,,False,0,0,False,False,es,3042479f409a3f086ebb3d10e526f3ddff2180016f4c3ae61e6475b17d3fbec6,rip ronaldo ronaldo fifa worldcup portogallomarocco morocco messi𓃵 neymarjr,"['rip', 'ronaldo', 'ronaldo', 'fifa', 'worldcup', 'portogallomarocco', 'morocco', 'messi𓃵', 'neymarjr']",neutro,0.591,neutro,0.469
32,67,2014-02-21 01:02:00,2022-12-11 02:28:00,"@VenMacondo @ReporteYa ... seguro!, pagado por la #fifa para seguir tapando todos los #sobornos del #mundialqatar2022 #deporte #football #explotacion #machismo #homofobia",False,Twitter for Android,1.60159e+18,1022804064.0,VenMacondo,False,0,1,False,False,es,7d4a56f5267306ddc9f476e6ebb4524ae2635ab5854beae328ce221787af0baf,"... seguro!, pagado por la fifa para seguir tapando todos los sobornos del mundialqatar2022 deporte football explotacion machismo homofobia","['seguro', 'pagado', 'por', 'la', 'fifa', 'para', 'seguir', 'tapando', 'todos', 'los', 'sobornos', 'del', 'mundialqatar2022', 'deporte', 'football', 'explotacion', 'machismo', 'homofobia']",negativo,0.916,negativo,0.892
2,13,2019-03-17 01:40:00,2022-12-11 01:00:00,"@Cr7stianismo_ Terrible, como no le van a regalar un penalti a Penaldo???? FIFA y la CTM!",False,Twitter Web App,1.6016400000000003e+18,1.44217e+18,Cr7stianismo_,False,0,0,False,False,es,b8fe424328064c4e28c9a6d2eac0b1ac0af37923b31c898ea03e146d017e7ce3,"terrible, como no le van a regalar un penalti a penaldo???? fifa y la ctm!","['terrible', 'como', 'no', 'le', 'van', 'a', 'regalar', 'un', 'penalti', 'a', 'penaldo', 'fifa', 'y', 'la', 'ctm']",negativo,0.946,negativo,0.954
67,271,2011-03-28 22:29:00,2022-12-11 14:46:00,@MartnPeiretti1 Polentoso prepárate q si argentina sale campeón ojalá se dé la fifa le invita a Macri a entregar la copa y t vas a qrer morder los codos,False,Twitter for iPhone,1.5992000000000003e+18,1.24797e+18,MartnPeiretti1,False,0,0,False,False,es,e999a1cf61d77d54b3751ffd76e716b1af5416340dada894e08b32e2fe22d873,polentoso prepárate q si argentina sale campeón ojalá se dé la fifa le invita a macri a entregar la copa y t vas a qrer morder los codos,"['polentoso', 'prepárate', 'q', 'si', 'argentina', 'sale', 'campeón', 'ojalá', 'se', 'dé', 'la', 'fifa', 'le', 'invita', 'a', 'macri', 'a', 'entregar', 'la', 'copa', 'y', 't', 'vas', 'a', 'qrer', 'morder', 'los', 'codos']",negativo,0.715,negativo,0.753
4735,5197,2020-07-25 02:30:00,2022-12-11 02:38:00,RT @PongamosPereque: Pena máxima debería darle a la FIFA por el nivel de algunos de sus árbitros...Y eso que cuentan con la ayuda del VAR para hacer mejor su trabajo.,False,Twitter for Android,,,,False,3,0,False,False,es,d0df6c31b5dd80dbb9c50808c03002781174e3b33de6ad802a8b3563ed25cdfd,rt : pena máxima debería darle a la fifa por el nivel de algunos de sus árbitros...y eso que cuentan con la ayuda del var para hacer mejor su trabajo.,"['rt', 'pena', 'máxima', 'debería', 'darle', 'a', 'la', 'fifa', 'por', 'el', 'nivel', 'de', 'algunos', 'de', 'sus', 'árbitros', 'y', 'eso', 'que', 'cuentan', 'con', 'la', 'ayuda', 'del', 'var', 'para', 'hacer', 'mejor', 'su', 'trabajo']",negativo,0.967,negativo,0.889
6,44,2015-03-15 11:23:00,2022-12-11 08:10:00,@elchiringuitotv Ya se dijo antes d empezar este mundial está preparado para Messi por las jerarquías de la FIFA .,False,Twitter for Android,1.60163e+18,18905975.0,elchiringuitotv,False,0,0,False,False,es,b2b6d976111d57d8b079e3545c60ea6cebdff82778a61c66d017e26272dfe8c7,ya se dijo antes d empezar este mundial está preparado para messi por las jerarquías de la fifa .,"['ya', 'se', 'dijo', 'antes', 'd', 'empezar', 'este', 'mundial', 'está', 'preparado', 'para', 'messi', 'por', 'las', 'jerarquías', 'de', 'la', 'fifa']",neutro,0.698,neutro,0.645
206,649,2010-08-13 03:54:00,2022-12-11 01:47:00,RT @manolo2002sv: Cuando vas ganando en FIFA / Cuando vas perdiendo. https://t.co/kmXan0LsmC,False,Twitter for Android,,,,False,2,0,False,False,es,453f681560a37cc6ed3e5af49cb0f6d648f26c1c3af0a98863197af3e9889414,rt : cuando vas ganando en fifa / cuando vas perdiendo.,"['rt', 'cuando', 'vas', 'ganando', 'en', 'fifa', 'cuando', 'vas', 'perdiendo']",negativo,0.571,neutro,0.815
618887,780,2008-08-05 15:20:00,2022-12-11 01:41:00,Estaba informando en su octava Copa del Mundo. https://t.co/ismWIG7hdv,False,Echobox,,,,False,0,2,False,False,es,5f52a4260a81a9ac860be4e72ded8c23207e9588e46aead12f34a0e8628b0e82,estaba informando en su octava copa del mundo.,"['estaba', 'informando', 'en', 'su', 'octava', 'copa', 'del', 'mundo']",neutro,0.731,neutro,0.867
362,415,2011-02-21 06:37:00,2022-12-11 01:21:00,Fifa 23 metió on top of the world en su playlist. Bro me senti en el 2013. Que cracks son🥲🥲🥲🥲,False,Twitter for iPhone,,,,False,0,0,False,False,es,3e7215dc2387b0c9a9c7daa04c9f43a02114eca08c5e1b127da06723e8a0d1bd,fifa 23 metió on top of the world en su playlist. bro me senti en el 2013. que cracks son,"['fifa', '23', 'metió', 'on', 'top', 'of', 'the', 'world', 'en', 'su', 'playlist', 'bro', 'me', 'senti', 'en', 'el', '2013', 'que', 'cracks', 'son']",positivo,0.776,positivo,0.824
3198,2294,2018-02-04 16:00:00,2022-12-11 13:12:00,"Junio 25 de 1978 - Estadio: River Plate (Bs. As.)
Final Copa del Mundo FIFa 1978
#NoDigaGolDigaKempes https://t.co/1p76u2nzFs",False,Twitter Web App,,,,False,3,12,False,False,es,b328f5fb5dc016c9a33b3d980cd40795a7dab0ceaef55225979671999c96cc5d,junio 25 de 1978 - estadio: river plate (bs. as.) final copa del mundo fifa 1978 nodigagoldigakempes,"['junio', '25', 'de', '1978', 'estadio', 'river', 'plate', 'bs', 'as', 'final', 'copa', 'del', 'mundo', 'fifa', '1978', 'nodigagoldigakempes']",neutro,0.783,neutro,0.846
23433,18880,2012-04-03 05:37:00,2022-12-11 12:45:00,#Futbol #LoMasVisto Mundial 2026: La FIFA estudia un cambio de formato para la próxima Copa del Mundo  - https://t.co/EaenlyPqb6 https://t.co/oiuWBR6Sn6,False,Postcron App,,,,False,0,0,False,False,es,5a18ad8f96e6405f72743a873548107b6cb2900d79041b2ba0777a000a009434,futbol lomasvisto mundial 2026: la fifa estudia un cambio de formato para la próxima copa del mundo -,"['futbol', 'lomasvisto', 'mundial', '2026', 'la', 'fifa', 'estudia', 'un', 'cambio', 'de', 'formato', 'para', 'la', 'próxima', 'copa', 'del', 'mundo']",neutro,0.722,neutro,0.795
209,415,2019-08-28 02:33:00,2022-12-11 09:50:00,No ver que es un mundial amañado por el dueño del Psg para que gane o Messi o Mbappe. Que vergüenza de FIFA. Don 💰 https://t.co/6Z5Ru25hWq,False,Twitter for Android,,,,True,0,0,False,False,es,999453c4cee13d32a7ac3800de31e0e9819431bd816afdf6103e8cfa28aaecff,no ver que es un mundial amañado por el dueño del psg para que gane o messi o mbappe. que vergüenza de fifa. don,"['no', 'ver', 'que', 'es', 'un', 'mundial', 'amañado', 'por', 'el', 'dueño', 'del', 'psg', 'para', 'que', 'gane', 'o', 'messi', 'o', 'mbappe', 'que', 'vergüenza', 'de', 'fifa', 'don']",negativo,0.978,negativo,0.963
110,77,2022-06-21 22:53:00,2022-12-11 10:45:00,"@shesquizo hna same, hasta comencé a jugar fifa 😦",False,Twitter for Android,1.60167e+18,1.32375e+18,shesquizo,False,0,0,False,False,es,f75cdb9d03550032f97fa3aa67e6ce59b3d82a20c3e2f3145516c7a5de9169c3,"hna same, hasta comencé a jugar fifa","['hna', 'same', 'hasta', 'comencé', 'a', 'jugar', 'fifa']",neutro,0.787,neutro,0.711
637,653,2012-08-01 16:17:00,2022-12-11 11:39:00,"RT @AgenciaTelam: La FIFA abrió un expediente contra la AFA por los incidentes en Argentina-Países Bajos

https://t.co/kgce3Y4VYk",False,Twitter for Android,,,,False,9,0,False,False,es,82e04efc802697371ee994edef9c3f0dab2f1f49b433ba76154d1db5e93f5e46,rt : la fifa abrió un expediente contra la afa por los incidentes en argentina países_bajos,"['rt', 'la', 'fifa', 'abrió', 'un', 'expediente', 'contra', 'la', 'afa', 'por', 'los', 'incidentes', 'en', 'argentina', 'países_bajos']",neutro,0.496,negativo,0.655
787,1184,2017-11-22 23:01:00,2022-12-11 14:13:00,Respecto al mundial: creo que no cabía esperar mucho de una FIFA que accedió el mundial de Qatar.,False,Twitter Web App,,,,False,0,1,False,False,es,43f24c484411e9f2ff18ad7befe014fe7902ef8736dc294d18d87a9a6baf8ccc,respecto al mundial: creo que no cabía esperar mucho de una fifa que accedió el mundial de qatar.,"['respecto', 'al', 'mundial', 'creo', 'que', 'no', 'cabía', 'esperar', 'mucho', 'de', 'una', 'fifa', 'que', 'accedió', 'el', 'mundial', 'de', 'qatar']",negativo,0.79,neutro,0.554
1369,2523,2014-08-19 00:00:00,2022-12-11 02:37:00,"RT @GerGarciaGrova: 📂#FIFA le abrió un expediente a @Argentina 

👉🏾 Invasión al campo de un aficionado

📌Cantidad de tarjetas amarillas, más de 5.

🚨NINGÚN JUGADOR CORRE RIESGO DE PERDERSE EL PARTIDO

ℹ️ con @DamianAvillagra, el cumpleañero.",False,Twitter for Android,,,,False,38,0,False,False,es,93b3f02e25ae021cb27a9ad071281294c093c1deb9e807ac879d1cdfa45f001c,"rt : fifa le abrió un expediente a invasión al campo de un aficionado cantidad de tarjetas amarillas, más de 5. ningún jugador corre riesgo de perderse el partido i con , el cumpleañero.","['rt', 'fifa', 'le', 'abrió', 'un', 'expediente', 'a', 'invasión', 'al', 'campo', 'de', 'un', 'aficionado', 'cantidad', 'de', 'tarjetas', 'amarillas', 'más', 'de', '5', 'ningún', 'jugador', 'corre', 'riesgo', 'de', 'perderse', 'el', 'partido', 'i', 'con', 'el', 'cumpleañero']",neutro,0.864,negativo,0.884
209,37,2013-07-15 22:54:00,2022-12-11 13:53:00,"@Sir_Hodor @As_TomasRoncero Yo digo que la FIFA debería sacar una normativa que prohíba a los nacionalizados competir con una selección que no sea la de su país natal, ya que eso desvirtúa la realidad competitiva de cada país, y perjudica a los nacidos en un territorio en favor de los nacionalizados.",False,Twitter Web App,1.60194e+18,431929733.0,Sir_Hodor,False,0,0,False,False,es,b2e4ac36ba2d226e3a2db876098cff6716288d7b9c712ab5506bca4b14730d9e,"yo digo que la fifa debería sacar una normativa que prohíba a los nacionalizados competir con una selección que no sea la de su país natal, ya que eso desvirtúa la realidad competitiva de cada país, y perjudica a los nacidos en un territorio en favor de los nacionalizados.","['yo', 'digo', 'que', 'la', 'fifa', 'debería', 'sacar', 'una', 'normativa', 'que', 'prohíba', 'a', 'los', 'nacionalizados', 'competir', 'con', 'una', 'selección', 'que', 'no', 'sea', 'la', 'de', 'su', 'país', 'natal', 'ya', 'que', 'eso', 'desvirtúa', 'la', 'realidad', 'competitiva', 'de', 'cada', 'país', 'y', 'perjudica', 'a', 'los', 'nacidos', 'en', 'un', 'territorio', 'en', 'favor', 'de', 'los', 'nacionalizados']",negativo,0.946,negativo,0.636
93,271,2009-10-04 22:59:00,2022-12-11 05:42:00,@jaimecastro @ChumelTorres @SoyOlson @Ticketmaster_Me Por eso los boletos del mundial los vende directamente la FIFA para evitar problemas de terceros. Ya los fraudes de agencias y demás siempre han existido y seguirán existiendo,False,Twitter for Android,1.60156e+18,46215603.0,jaimecastro,False,0,1,False,False,es,ed5e3492f2ea79d8f23b5e758a5c6798ead8a1b745e0df01e73596b2efe9b01d,por eso los boletos del mundial los vende directamente la fifa para evitar problemas de terceros. ya los fraudes de agencias y demás siempre han existido y seguirán existiendo,"['por', 'eso', 'los', 'boletos', 'del', 'mundial', 'los', 'vende', 'directamente', 'la', 'fifa', 'para', 'evitar', 'problemas', 'de', 'terceros', 'ya', 'los', 'fraudes', 'de', 'agencias', 'y', 'demás', 'siempre', 'han', 'existido', 'y', 'seguirán', 'existiendo']",negativo,0.824,negativo,0.497
33,137,2016-06-22 20:23:00,2022-12-11 14:22:00,"@DjMaRiiO Jajajaja Dj, a mi me caes muy bien, pero aveces creo que no le das una buena utilidad a tu materia gris.
Solo podrías ganarle en el FIFA, porque el sueño de ser jugador profesional y ganar títulos con los mejores equipos, lo tiene el KUNI, no tu. 
Saludos Xd.",False,Twitter for Android,1.60135e+18,202535200.0,DjMaRiiO,False,0,0,False,False,es,75ede6725f83ae92b506752fab130c03f2f7925b173f57f5945b65cca54fb372,"jajajaja dj, a mi me caes muy bien, pero aveces creo que no le das una buena utilidad a tu materia gris. solo podrías ganarle en el fifa, porque el sueño de ser jugador profesional y ganar títulos con los mejores equipos, lo tiene el kuni, no tu. saludos xd.","['jajajaja', 'dj', 'a', 'mi', 'me', 'caes', 'muy', 'bien', 'pero', 'aveces', 'creo', 'que', 'no', 'le', 'das', 'una', 'buena', 'utilidad', 'a', 'tu', 'materia', 'gris', 'solo', 'podrías', 'ganarle', 'en', 'el', 'fifa', 'porque', 'el', 'sueño', 'de', 'ser', 'jugador', 'profesional', 'y', 'ganar', 'títulos', 'con', 'los', 'mejores', 'equipos', 'lo', 'tiene', 'el', 'kuni', 'no', 'tu', 'saludos', 'xd']",negativo,0.851,positivo,0.378
38,171,2014-06-27 03:06:00,2022-12-11 11:33:00,@BonelliOK La verdad la FIFA y periodista con vos dan 🤮🤢,False,Twitter for Android,1.60158e+18,3170981873.0,BonelliOK,False,0,0,False,False,es,b1a0f98943888c5bdd4bba217f5f80435643f2cb5ed7b1bee339d522e2b90fb0,la verdad la fifa y periodista con vos dan apesta,"['la', 'verdad', 'la', 'fifa', 'y', 'periodista', 'con', 'vos', 'dan', 'apesta']",negativo,0.969,negativo,0.926
